country,countryLabel,capitale,capitaleLabel,gps,flagimage
http://www.wikidata.org/entity/Q1006,Guinea,http://www.wikidata.org/entity/Q3733,Conakry,Point(-11.0 10.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Guinea.svg
http://www.wikidata.org/entity/Q1007,Guinea-Bissau,http://www.wikidata.org/entity/Q3739,Bissau,Point(-15.0 12.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Guinea-Bissau.svg
http://www.wikidata.org/entity/Q1008,Ivory Coast,http://www.wikidata.org/entity/Q3768,Yamoussoukro,Point(-6.0 8.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20C%C3%B4te%20d%27Ivoire.svg
http://www.wikidata.org/entity/Q1009,Cameroon,http://www.wikidata.org/entity/Q3808,Yaoundé,Point(12.0 7.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Cameroon.svg
http://www.wikidata.org/entity/Q1011,Cape Verde,http://www.wikidata.org/entity/Q3751,Praia,Point(-24.083333333 15.916666666),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Cape%20Verde.svg
http://www.wikidata.org/entity/Q1013,Lesotho,http://www.wikidata.org/entity/Q3909,Maseru,Point(28.25 -29.55),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Lesotho.svg
http://www.wikidata.org/entity/Q1014,Liberia,http://www.wikidata.org/entity/Q3748,Monrovia,Point(-9.75 6.533333),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Liberia.svg
http://www.wikidata.org/entity/Q1016,Libya,http://www.wikidata.org/entity/Q3579,Tripoli,Point(17.0 27.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Libya.svg
http://www.wikidata.org/entity/Q1019,Madagascar,http://www.wikidata.org/entity/Q3915,Antananarivo,Point(47.0 -20.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Madagascar.svg
http://www.wikidata.org/entity/Q1020,Malawi,http://www.wikidata.org/entity/Q3876,Lilongwe,Point(34.0 -13.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Malawi.svg
http://www.wikidata.org/entity/Q1025,Mauritania,http://www.wikidata.org/entity/Q3688,Nouakchott,Point(-11.0 21.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Mauritania.svg
http://www.wikidata.org/entity/Q1027,Mauritius,http://www.wikidata.org/entity/Q3929,Port Louis,Point(57.5 -20.2),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Mauritius.svg
http://www.wikidata.org/entity/Q1028,Morocco,http://www.wikidata.org/entity/Q3551,Rabat,Point(-6.0 32.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Morocco.svg
http://www.wikidata.org/entity/Q1029,Mozambique,http://www.wikidata.org/entity/Q3889,Maputo,Point(35.0 -19.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Mozambique.svg
http://www.wikidata.org/entity/Q1030,Namibia,http://www.wikidata.org/entity/Q3935,Windhoek,Point(17.0 -23.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Namibia.svg
http://www.wikidata.org/entity/Q1032,Niger,http://www.wikidata.org/entity/Q3674,Niamey,Point(10.0 17.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Niger.svg
http://www.wikidata.org/entity/Q1033,Nigeria,http://www.wikidata.org/entity/Q3787,Abuja,Point(8.0 9.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Nigeria.svg
http://www.wikidata.org/entity/Q1036,Uganda,http://www.wikidata.org/entity/Q3894,Kampala,Point(32.39 1.28),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Uganda.svg
http://www.wikidata.org/entity/Q1037,Rwanda,http://www.wikidata.org/entity/Q3859,Kigali,Point(29.873888888 -1.940277777),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Rwanda.svg
http://www.wikidata.org/entity/Q1039,São Tomé and Príncipe,http://www.wikidata.org/entity/Q3932,São Tomé,Point(6.6 0.316667),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Sao%20Tome%20and%20Principe.svg
http://www.wikidata.org/entity/Q1041,Senegal,http://www.wikidata.org/entity/Q3718,Dakar,Point(-14.283333 14.366667),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Senegal.svg
http://www.wikidata.org/entity/Q1044,Sierra Leone,http://www.wikidata.org/entity/Q3780,Freetown,Point(-12.1 8.5),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Sierra%20Leone.svg
http://www.wikidata.org/entity/Q1045,Somalia,http://www.wikidata.org/entity/Q2449,Mogadishu,Point(47.0 6.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Somalia.svg
http://www.wikidata.org/entity/Q1049,Sudan,http://www.wikidata.org/entity/Q1963,Khartoum,Point(32.0 15.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Sudan.svg
http://www.wikidata.org/entity/Q1050,Eswatini,http://www.wikidata.org/entity/Q3904,Mbabane,Point(31.433333 -26.483333),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Eswatini.svg
http://www.wikidata.org/entity/Q1050,Eswatini,http://www.wikidata.org/entity/Q101418,Lobamba,Point(31.433333 -26.483333),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Eswatini.svg
http://www.wikidata.org/entity/Q29999,Netherlands,http://www.wikidata.org/entity/Q727,Amsterdam,Point(4.883333333 52.366666666),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Netherlands.svg
http://www.wikidata.org/entity/Q801,Israel,http://www.wikidata.org/entity/Q1218,Jerusalem,Point(35.0 31.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Israel.svg
http://www.wikidata.org/entity/Q796,Iraq,http://www.wikidata.org/entity/Q1530,Baghdad,Point(43.0 33.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Iraq.svg
http://www.wikidata.org/entity/Q800,Costa Rica,http://www.wikidata.org/entity/Q3070,San José,Point(-84.0 10.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Costa%20Rica%20%28state%29.svg
